"","crn","stn","cast","mdate","press","theta","sigma","temp","csal","coxy","bsal","boxy","dic","ph","alk","phos","nit","sil","dop","don","doc","tdp","tdn","pc","pn","pp","lln","llp","atp","n2o","psi","p15n","no2"
"65",42,2,2,-9,25,25.6502,22.977,25.6557,34.7814,-9,34.7785,205.5,1947,8.109,2287,0.1,0,1.07,0.22,5.88,-9,0.32,5.88,-9,-9,-9,0.9,107.4,-9,-9,-9,-9,0.3
"66",42,2,2,-9,85,25.3818,23.193,25.4005,34.9579,-9,34.9567,211.4,1962.4,8.105,2306,0.08,0.09,1,0.24,6.85,-9,0.32,6.93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"67",42,2,3,-9,5,25.7208,22.941,25.7219,34.763,-9,-9,-9,1946.9,8.109,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,12,-9,-9,-9,-9,-9,-9,-9
"68",42,2,3,-9,25,25.705,22.945,25.7105,34.7614,-9,-9,-9,1946.1,8.111,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,14.5,-9,-9,-9,-9,-9,-9,-9
"69",43,2,6,-9,35,24.5672,23.408,24.5747,34.9156,-9,34.9121,207,1956.8,8.106,2300,0.08,0,1.01,0.21,5.75,-9,0.28,5.75,-9,-9,-9,1,88.9,-9,-9,-9,-9,-9
"70",43,2,6,-9,60,24.4532,23.542,24.466,35.0466,-9,35.0309,207.7,1963.3,8.099,2310,0.07,0.01,0.9,0.19,5.66,-9,0.25,5.67,-9,-9,-9,1.9,45.9,-9,-9,-9,-9,-9
"71",43,2,6,-9,85,24.1851,23.739,24.2031,35.2018,-9,35.202,206.3,1979.9,8.104,2317,0.04,0.02,0.91,0.2,6.82,-9,0.23,6.84,-9,-9,-9,8.2,33.2,-9,-9,-9,-9,-9
"72",43,2,6,-9,105,22.8733,24.099,22.8947,35.1706,-9,35.1913,210.2,1997.4,8.064,2326,0.08,0.16,1.22,0.19,4.8,-9,0.26,4.96,-9,-9,-9,137.2,61.5,-9,-9,-9,-9,117.9
"73",43,2,7,-9,125,22.4073,24.227,22.4324,35.1626,-9,35.1731,212.2,2002.6,8.056,2314,0.11,0.21,1.26,0.14,5.37,-9,0.24,5.58,-9,-9,-9,-9,105.5,-9,-9,-9,-9,138.3
"74",43,2,7,-9,200,19.4259,24.977,19.4622,35.0861,-9,35.1538,198.2,2042.3,7.986,2315,0.25,2.22,2.06,0.1,4.86,-9,0.35,7.08,-9,-9,-9,-9,-9,-9,-9,-9,-9,20.6
